cidade,area,quartos,wcs,vagas,andar,animal,mobilia,condominio,aluguel,iptu
São Paulo,35,1,1,0,1,n,n,250,1305,0
São Paulo,20,1,1,0,2,n,s,0,2060,0
São Paulo,100,3,2,1,5,s,n,1221,1200,38
Porto Alegre,240,5,4,4,-,s,n,0,4760,584
Belo Horizonte,45,2,1,1,5,n,n,227,750,28
São Paulo,110,2,3,3,-,s,n,0,2200,8
São Paulo,35,1,1,0,1,n,n,250,1305,0
São Paulo,72,3,2,1,11,s,n,800,3010,0
São Paulo,25,1,1,0,12,s,n,318,2100,41
Belo Horizonte,100,3,1,1,-,s,n,0,1970,92
São Paulo,30,1,1,0,-,s,n,0,1090,75
São Paulo,25,1,1,0,1,n,n,0,1200,35
São Paulo,50,2,2,1,9,s,n,390,1800,0
São Paulo,30,1,1,0,2,n,n,349,1805,0
Rio de Janeiro,170,3,1,1,10,s,s,600,2480,100
São Paulo,69,2,1,1,3,s,n,733,1400,98
Campinas,93,3,2,2,4,s,n,1459,2300,191
Rio de Janeiro,250,5,2,5,-,s,n,0,4675,270
Rio de Janeiro,110,3,2,0,7,n,n,1100,4860,300
Campinas,183,4,2,0,-,s,n,920,2400,238
Porto Alegre,41,1,2,1,9,s,n,400,2800,67
Porto Alegre,80,2,2,1,2,s,n,500,1800,100
São Paulo,37,1,1,1,11,s,s,800,2800,0
São Paulo,250,4,3,3,2,s,n,2000,4000,167
Rio de Janeiro,16,1,1,0,2,s,n,450,555,30
São Paulo,91,1,2,2,11,s,s,2076,13000,334
São Paulo,35,1,1,1,5,n,s,444,3290,124
Campinas,341,4,6,4,-,s,n,660,13000,608
São Paulo,212,3,5,3,7,s,n,2300,7000,1084
Belo Horizonte,190,3,2,2,6,s,n,1500,4850,502
Campinas,72,2,2,1,7,s,n,480,850,9
São Paulo,300,4,5,4,9,s,s,4300,7000,1417
Rio de Janeiro,50,2,1,1,5,s,s,470,1550,13
São Paulo,28,1,1,0,1,n,s,0,1750,0
Rio de Janeiro,53,2,1,0,11,n,n,500,1000,0
São Paulo,80,3,2,1,-,s,n,0,2170,47
São Paulo,130,3,2,1,4,n,s,1134,7900,386
Rio de Janeiro,130,3,2,1,8,s,n,1889,2610,450
São Paulo,70,2,2,1,7,s,n,569,1900,25
São Paulo,180,3,2,4,-,s,n,0,3000,0
Belo Horizonte,200,3,4,4,10,s,n,2900,5500,1021
São Paulo,85,3,2,1,8,s,n,996,3560,150
Belo Horizonte,154,4,2,3,4,n,s,2150,5400,647
Porto Alegre,47,1,1,1,1,n,s,400,2200,0
Rio de Janeiro,90,3,2,0,4,s,n,921,2550,142
São Paulo,62,2,2,1,2,s,s,800,2580,84
Belo Horizonte,476,3,2,2,-,n,n,0,6100,202
São Paulo,225,3,2,2,-,s,n,0,2300,209
São Paulo,48,1,1,2,15,n,s,2121,6800,400
São Paulo,37,1,1,0,1,s,n,0,1400,0
São Paulo,40,1,1,0,-,n,n,0,780,17
São Paulo,300,4,3,2,-,s,s,0,15000,1040
Porto Alegre,35,1,1,0,5,s,n,330,1000,20
São Paulo,213,4,3,0,3,s,s,440,5100,0
Belo Horizonte,40,1,1,0,3,n,n,496,1000,116
São Paulo,55,2,1,1,1,s,s,300,2200,84
São Paulo,50,2,1,1,15,s,n,295,1500,47
São Paulo,82,1,1,2,1,s,n,1650,8000,267
São Paulo,220,3,2,2,4,s,n,3100,6400,700
São Paulo,100,4,5,4,1,s,n,3800,2750,1417
São Paulo,61,2,2,2,2,n,s,1023,3160,270
São Paulo,119,3,3,1,4,n,s,1500,3370,209
São Paulo,60,1,1,1,13,s,s,646,3900,109
São Paulo,71,2,2,2,19,s,n,550,3000,84
Rio de Janeiro,161,3,3,3,14,s,n,1300,4500,640
São Paulo,71,2,2,2,14,n,n,511,3000,203
Porto Alegre,70,2,1,0,3,s,n,300,1400,59
São Paulo,53,2,1,1,7,s,n,450,4200,42
São Paulo,80,3,3,2,20,s,n,600,4450,242
São Paulo,158,3,4,2,2,s,n,1361,2750,142
São Paulo,300,2,4,2,-,s,n,0,6000,419
Porto Alegre,46,2,1,1,-,s,n,236,750,16
Porto Alegre,70,2,1,1,2,s,s,100,1360,100
São Paulo,130,3,2,2,4,s,s,800,3500,0
São Paulo,399,3,5,4,21,s,n,7000,12000,0
Porto Alegre,38,1,1,0,5,s,n,350,770,38
São Paulo,520,3,4,2,-,s,n,0,9000,1500
São Paulo,240,3,4,3,7,s,s,4000,8500,1167
São Paulo,105,3,2,1,2,s,n,1937,2380,374
São Paulo,68,2,1,1,4,s,n,626,1200,0
São Paulo,100,3,4,4,-,s,n,0,3600,160
São Paulo,540,4,5,5,13,s,n,3414,5100,2236
Belo Horizonte,300,5,5,5,-,n,n,0,4500,450
Porto Alegre,78,3,2,2,6,s,s,720,3500,169
Belo Horizonte,30,1,1,0,3,n,n,0,1500,0
Belo Horizonte,67,2,2,2,1,s,n,202,1000,82
São Paulo,41,1,1,0,12,s,n,290,1530,60
Rio de Janeiro,60,2,1,1,4,s,n,750,1300,0
Belo Horizonte,269,4,3,2,-,s,n,0,4900,357
São Paulo,42,1,1,0,2,s,n,530,2800,0
São Paulo,650,3,7,2,-,s,n,0,9900,600
São Paulo,79,3,1,1,11,n,n,700,1405,0
São Paulo,195,4,2,3,15,s,n,1475,2500,307
São Paulo,270,2,2,3,-,s,n,1,1429,0
São Paulo,52,2,1,1,7,s,n,490,1658,37
Rio de Janeiro,400,3,1,1,-,s,s,0,7650,666
São Paulo,310,5,6,5,5,s,n,6900,10000,1834
Belo Horizonte,65,2,1,1,2,n,n,200,908,69
Rio de Janeiro,65,2,2,0,2,n,n,150,1700,84
São Paulo,241,4,4,3,3,s,n,2851,5525,848
Porto Alegre,127,3,3,0,5,s,n,1295,1125,209
São Paulo,34,1,1,0,11,n,n,370,2800,74
São Paulo,165,4,3,2,-,s,n,0,5000,46
Campinas,209,3,3,2,-,n,n,593,2550,237
Rio de Janeiro,309,4,5,4,7,s,n,2661,6500,682
Rio de Janeiro,70,2,2,0,5,s,s,690,2250,100
Rio de Janeiro,55,1,2,1,15,s,s,695,2750,50
Porto Alegre,32,1,1,0,-,s,s,230,750,23
Rio de Janeiro,30,1,1,0,14,s,s,706,1100,133
São Paulo,50,1,1,0,11,s,s,370,3398,177
São Paulo,600,5,5,6,-,s,n,0,15000,2100
Rio de Janeiro,185,4,3,3,10,s,n,3250,11340,1835
São Paulo,128,3,4,2,8,n,s,1337,5000,609
São Paulo,129,3,4,3,6,s,s,1650,2500,434
Belo Horizonte,170,3,2,3,-,s,n,0,4000,180
São Paulo,121,2,3,1,20,s,n,825,2560,170
São Paulo,70,2,1,1,3,n,n,710,820,45
São Paulo,50,1,1,0,6,s,s,240,2640,0
Belo Horizonte,133,4,4,3,6,n,n,1500,7000,800
Belo Horizonte,147,4,5,3,3,s,n,1200,2975,293
Porto Alegre,40,2,1,1,3,s,n,300,820,32
Campinas,115,3,3,1,5,s,n,1035,1900,30
Belo Horizonte,85,3,1,0,2,n,n,150,1100,150
São Paulo,75,3,1,1,8,n,n,837,2200,70
São Paulo,25,1,1,1,16,n,s,344,2200,45
Rio de Janeiro,66,2,1,1,9,s,n,997,2400,179
São Paulo,100,3,2,1,3,s,n,1020,2900,0
São Paulo,40,1,1,1,13,n,n,1100,1600,160
São Paulo,198,4,2,0,-,s,n,0,4000,500
Porto Alegre,111,2,2,0,15,s,n,850,1612,100
Campinas,151,3,2,3,10,s,s,1400,2500,251
São Paulo,42,1,1,1,15,s,n,686,3500,123
São Paulo,300,4,4,4,19,s,s,2800,9000,1667
Rio de Janeiro,200,2,3,2,1,s,n,2500,5200,250
São Paulo,350,3,2,4,-,s,n,0,10200,992
São Paulo,48,2,1,1,15,n,n,400,1260,42
São Paulo,142,3,4,3,2,s,n,1200,6000,500
Porto Alegre,50,1,1,0,10,s,n,250,1350,0
São Paulo,450,4,6,4,4,s,n,4000,15000,2500
São Paulo,218,3,3,3,9,s,s,1850,15000,809
Rio de Janeiro,118,3,2,0,4,n,n,1650,2550,172
Campinas,73,3,2,2,6,n,n,812,1500,204
São Paulo,61,2,1,1,4,s,n,459,1850,0
São Paulo,200,3,2,4,-,s,n,0,3500,0
São Paulo,45,2,1,1,17,s,n,300,1600,34
São Paulo,59,2,2,1,2,s,n,759,3478,75
Rio de Janeiro,140,3,2,1,6,s,n,1900,5000,334
São Paulo,450,5,4,3,-,s,n,0,12000,1201
São Paulo,34,1,1,0,-,s,n,0,1050,50
São Paulo,254,3,5,4,18,s,n,2000,10000,990
Campinas,113,3,3,2,4,s,n,1000,3804,0
Rio de Janeiro,80,2,1,0,3,s,s,600,5300,34
São Paulo,17,1,1,0,1,s,n,0,2700,5
Rio de Janeiro,35,1,1,0,1,s,s,81150,4500,9900
Belo Horizonte,400,6,4,0,-,s,n,0,15000,375
Campinas,92,2,3,2,5,n,n,1260,4200,275
Rio de Janeiro,81,2,3,2,7,n,s,1010,5500,1800
Porto Alegre,64,3,2,1,1,s,s,600,1620,0
São Paulo,80,2,1,0,7,n,n,563,2200,59
Belo Horizonte,100,3,2,1,3,s,n,600,1800,140
Rio de Janeiro,55,1,1,0,9,s,s,600,2600,50
São Paulo,65,2,1,1,8,s,s,1082,3820,134
São Paulo,400,3,2,3,-,s,n,0,5500,1084
São Paulo,280,4,5,4,18,n,n,3600,12000,917
São Paulo,68,1,1,0,3,s,n,500,1500,0
São Paulo,186,4,4,3,11,s,n,1900,5600,584
São Paulo,200,3,3,8,-,s,n,0,4480,509
São Paulo,55,1,1,0,1,n,n,150,730,0
Porto Alegre,121,2,1,2,3,s,n,300,1200,75
São Paulo,90,3,2,2,11,n,n,3160,5000,384
São Paulo,25,1,1,1,8,s,s,0,4000,0
São Paulo,71,2,1,0,8,n,n,764,1800,0
Belo Horizonte,50,3,1,1,4,s,n,210,1250,0
São Paulo,227,4,3,3,10,s,s,4000,10000,1700
São Paulo,55,2,1,1,1,s,n,580,1490,21
São Paulo,54,2,1,1,13,s,n,480,1610,0
Campinas,85,2,2,1,3,s,n,810,1100,70
São Paulo,455,4,5,4,5,s,n,8500,19500,3334
Rio de Janeiro,160,4,2,1,2,s,n,1500,4230,0
São Paulo,115,4,3,4,1,s,s,1133,7000,0
São Paulo,27,1,1,0,-,n,n,0,835,0
Rio de Janeiro,84,2,2,1,2,n,s,900,2750,275
São Paulo,100,3,2,6,-,s,n,0,7500,1000
São Paulo,49,2,1,1,17,n,s,665,2000,100
Belo Horizonte,300,4,4,4,17,s,s,1200,7500,436
São Paulo,100,2,2,0,1,s,n,0,2700,265
São Paulo,60,2,1,0,-,s,n,0,1080,94
São Paulo,160,4,4,3,2,s,n,2500,11000,0
São Paulo,154,4,3,3,21,s,n,1684,7000,1020
São Paulo,33,2,1,0,-,n,n,0,980,0
São Paulo,50,1,1,0,1,s,n,519,1550,28
Campinas,55,1,1,1,7,s,n,480,700,45
Campinas,75,3,1,1,1,n,n,296,12000,0
Campinas,200,3,3,5,-,s,n,0,2650,220
Rio de Janeiro,101,3,3,2,4,s,n,2163,5000,377
Rio de Janeiro,111,3,2,2,11,s,s,1100,3500,325
Porto Alegre,40,1,1,1,4,s,n,200,650,5
São Paulo,60,2,2,1,14,n,n,460,2200,20
São Paulo,66,2,2,1,1,n,n,1141,1275,166
São Paulo,80,2,1,1,6,s,n,654,2300,94
São Paulo,250,3,3,2,7,s,s,2750,5500,792
São Paulo,200,3,4,3,8,s,n,1400,7080,0
São Paulo,310,4,4,3,-,s,n,0,7000,675
Rio de Janeiro,80,2,2,1,1,s,s,1100,3499,205
São Paulo,271,3,2,2,-,s,n,0,4800,646
Rio de Janeiro,15,1,1,0,-,s,n,50,700,0
Rio de Janeiro,80,2,1,0,2,s,n,270,2850,173
São Paulo,50,1,1,0,6,n,n,467,1209,129
Rio de Janeiro,68,2,1,0,5,s,n,593,1000,400
Rio de Janeiro,168,3,2,0,1,s,n,1000,3700,417
São Paulo,31,1,1,0,22,s,n,330,1330,0
São Paulo,340,3,4,4,-,s,n,0,10000,1584
Rio de Janeiro,180,4,2,1,8,s,n,1600,3000,507
São Paulo,140,3,3,2,10,s,n,2000,5100,167
São Paulo,425,3,4,4,7,n,s,5719,11000,3084
São Paulo,86,1,2,1,13,s,s,1800,6500,375
São Paulo,170,3,4,0,14,s,s,2200,4000,800
Porto Alegre,440,3,2,3,6,n,n,100,10500,84
Belo Horizonte,150,4,2,2,1,s,n,1357,3700,211
Campinas,63,2,1,1,-,n,n,352,1750,90
São Paulo,47,1,1,0,7,s,n,890,2700,178
Belo Horizonte,300,3,3,4,-,s,n,0,3500,431
São Paulo,250,5,2,6,-,s,n,0,9000,1417
São Paulo,59,2,1,1,8,s,n,0,3000,0
Rio de Janeiro,140,3,2,0,5,s,n,350,2900,194
São Paulo,179,4,4,3,8,s,s,1100,8500,751
São Paulo,242,4,5,4,4,s,s,3270,12000,930
São Paulo,99,2,1,1,6,n,n,1300,4300,125
São Paulo,350,4,4,3,8,s,n,2100,4000,500
Rio de Janeiro,100,3,2,1,2,s,n,1300,4190,181
São Paulo,318,4,6,4,13,s,s,3450,10160,0
Campinas,98,3,2,1,1,s,n,727,1233,84
Porto Alegre,38,1,1,0,2,s,n,335,800,43
São Paulo,49,2,1,1,8,s,n,528,1700,135
Rio de Janeiro,50,1,1,0,8,s,n,600,2900,134
Belo Horizonte,90,2,1,1,-,n,n,0,1520,0
São Paulo,37,1,1,1,1,n,s,1700,1196,0
São Paulo,197,3,1,2,-,s,n,0,2100,290
Porto Alegre,47,1,1,1,1,n,s,400,2200,0
São Paulo,330,4,4,5,-,s,s,0,10000,750
Porto Alegre,55,1,1,0,2,s,s,320,1150,30
São Paulo,97,2,3,2,15,s,n,768,3300,243
São Paulo,190,3,3,3,4,n,s,2000,5000,667
Belo Horizonte,150,4,4,2,6,s,s,1305,3350,359
São Paulo,264,4,4,4,9,s,n,3200,14450,1792
São Paulo,186,3,4,3,2,s,n,1400,8000,667
Campinas,160,3,2,0,-,s,n,0,1600,117
São Paulo,280,3,2,0,7,s,n,2300,3000,417
Campinas,63,2,1,0,-,s,n,400,850,26
Belo Horizonte,110,3,2,2,1,s,n,380,2150,192
São Paulo,38,1,1,0,1,n,n,60,950,0
São Paulo,60,1,1,1,6,s,n,683,2100,0
São Paulo,354,5,6,3,-,s,n,0,8850,958
São Paulo,46,1,1,1,9,s,n,500,2200,35
São Paulo,45,2,1,1,4,s,s,430,2364,77
Campinas,55,2,1,1,4,s,n,395,700,40
Porto Alegre,187,3,3,2,-,s,s,0,2805,98
Rio de Janeiro,70,2,1,1,15,n,n,660,1500,100
São Paulo,49,1,1,0,-,n,n,0,1350,0
São Paulo,43,1,1,1,2,n,s,488,3600,133
Belo Horizonte,50,2,1,1,2,s,n,226,750,0
São Paulo,196,3,5,3,3,s,s,3338,8440,1223
São Paulo,86,3,2,2,6,s,s,800,3100,203
São Paulo,65,2,1,1,8,s,s,600,1700,92
São Paulo,40,1,1,0,-,n,n,180,850,41
Rio de Janeiro,60,2,1,0,2,s,n,500,1300,100
São Paulo,150,3,3,2,-,s,s,0,3400,325
Belo Horizonte,65,2,1,1,6,n,n,486,1200,101
Porto Alegre,42,1,1,1,2,n,n,280,800,280
Rio de Janeiro,27,1,1,0,12,s,s,350,1700,67
Porto Alegre,65,2,1,1,3,s,n,360,1066,15
São Paulo,100,2,2,0,1,s,n,900,2000,63
São Paulo,90,2,1,1,-,n,n,0,1450,34
São Paulo,55,2,1,1,3,s,n,496,1800,0
São Paulo,45,2,1,1,2,s,n,280,1650,29
Rio de Janeiro,380,3,4,3,13,n,s,3000,15000,2500
Belo Horizonte,90,2,3,0,-,s,n,0,2080,9
São Paulo,48,1,1,1,6,s,n,500,2200,35
São Paulo,250,4,5,4,9,s,n,4000,8440,1200
São Paulo,117,3,4,4,14,s,n,1500,2700,50
São Paulo,240,2,2,4,-,s,n,0,3500,362
São Paulo,206,3,3,1,11,s,s,2914,7400,586
Belo Horizonte,115,3,2,1,2,n,n,334,2200,110
São Paulo,180,4,4,4,21,n,n,2400,10000,1000
São Paulo,24,1,1,0,2,n,n,500,1420,0
São Paulo,142,3,2,2,8,s,n,1026,1750,243
São Paulo,400,4,5,4,-,s,n,3413,11000,2028
Belo Horizonte,170,4,3,4,9,n,n,744,2700,296
Rio de Janeiro,21,1,1,0,11,s,n,519,1200,0
São Paulo,130,2,1,0,-,s,s,0,1900,292
São Paulo,75,2,1,1,5,n,n,748,2000,0
São Paulo,44,1,1,1,19,s,s,385,3600,125
Rio de Janeiro,289,3,2,1,6,s,n,3000,5000,667
São Paulo,127,3,2,1,10,s,n,1393,6156,172
São Paulo,48,2,1,1,4,s,n,150,900,0
São Paulo,323,5,5,3,-,s,n,0,4800,582
Rio de Janeiro,50,1,1,0,10,s,n,520,1620,0
Rio de Janeiro,40,1,2,0,7,s,n,500,1800,53
Campinas,43,1,1,0,5,n,n,323,660,14
São Paulo,85,2,1,1,6,s,n,750,3500,105
São Paulo,30,1,1,0,2,n,n,507,2000,0
Campinas,60,3,2,1,5,s,n,366,1200,0
Porto Alegre,28,1,1,1,3,s,n,330,930,125
São Paulo,56,3,1,0,11,s,s,296,1900,30
Campinas,900,3,6,8,-,s,n,2000,15000,1834
Porto Alegre,90,3,2,0,3,n,n,405,1105,31
Porto Alegre,110,3,2,1,3,n,s,790,2300,75
São Paulo,23,1,1,0,2,n,n,30,950,34
São Paulo,380,4,1,2,-,n,n,0,4000,386
São Paulo,80,2,1,1,19,s,n,740,1300,0
Rio de Janeiro,170,3,2,1,9,s,n,2000,4600,384
São Paulo,37,1,1,1,3,n,s,485,3300,13
Belo Horizonte,96,3,2,1,2,s,n,922,1500,137
São Paulo,160,4,4,5,-,s,n,0,4500,0
Belo Horizonte,180,3,3,0,-,s,n,0,3200,180
Belo Horizonte,80,2,2,1,4,s,n,700,1070,100
Rio de Janeiro,90,2,2,1,3,s,n,600,1200,17
